movie_ID,movie_URL,movie_title,movie_rating,movie_year,movie_genres,movie_duration,credits_URL,directed_by,written_by,actors
tt1816626,https://www.imdb.com/title/tt1816626,Rota Comando,4.8,2009,"['Ação', 'Biografia', 'Policial']",140.0,https://www.imdb.com/title/tt1816626/fullcredits,['Elias Júnior'],"['Elias Júnior', 'Ana Carolina Souza', 'Conte Lopes']","['Maurício Bonatti', 'Alex Moreira', 'Thiago Guastelli', 'Flavio Micchi', 'Che Moais', 'Ivan Vilabela', 'João Miller', 'Reinaldo Rodrigues', 'Conte Lopes', 'Elias Júnior', 'Leandro Peres Bernal', 'André Prado', 'Maísa Magalhães', 'Ana Carolina R. Assis', 'Jedsom Kárta', 'Beatriz Paganini', 'Marília Caldas', 'Raphaela Leite', 'Will Santana', 'Tom Rocha', 'Charles Darlan', 'Jô Costa', 'Paulo Mario Ceglio', 'Ronaldo Assis', 'Hélvio Silva', 'Bruno Ribeiro', 'Robinho', 'Anderson da Silva', 'Valdir Santos', 'Harley Dickman', 'Gabriel Francisco', 'Gherardo Gepp', 'Daniela Rocha', 'Cauê Azevedo', 'Pedro Paulo Moraes', 'Sérgio Ricardo', 'Marcos Reis', 'Ataliba Leonel C. Neto', 'Vinicus Cortez', 'Fábio Fonkert Pereira', 'Fernando Michelin', 'Gilberto Araujo Rosa', 'Henrique Queiros Silva', 'João Batista S. Paiva', 'Lais Emy Takemura', 'Jéssica Rosa da Silva', 'Roger Rodrigues', 'Stephanie Pessanha', 'Vitor Bellisimo', 'Bruno Ramos da Silva', 'Silvana da Costa Alves', 'Nanny Borges', 'Nina Ramos', 'Fabrícia Viana Vivas', 'Wilker V.V. Silva', 'Gabriela V.V. de Oliveira', 'Giovanna V.V. de Oliveira', 'Gustavo V.V. de Oliveira', 'Mateus B.C. Lopes Lima', 'Felipe B.C. Lopes Lima', 'Davi B.C. Lopes Lima', 'Luiz Fernando Dos Santos', 'Jailton de Souza Elesbão', 'Eduardo Serpa da Silva', 'Gabriela A. da Silva', 'Rômulo M. Menegazzo', 'Luciana d. Cukanskas', 'Julio G. da Silva', 'Ailton Pasquale Dos Santos', 'Clarissa Mayoral', 'Ailton Souza Rosa', 'João Luis Dos Santos', 'Yakko Sideratos', 'Eliete Gonçalves Sarrea', 'Elias de Assis', 'Madsonn C. da Silva', 'Nanah Souza', 'Augusto Neto Oliveira', 'Dimas A. Stecca', 'Elton C. Santana', 'Alexandre Gomes da Silva', 'Cleciano Oliveira', 'José R.A. Trujillo', 'Paulo Maier', 'Everton Martins', 'Diego Machado', 'Wilson de Souza', 'André Souza Silva', 'Elton Prado', 'Gilson Castanhal', 'Érica M. do Nascimento', 'Gabriel G. Brantes', 'Susy Ayres', 'Vagner Nunes', 'Glauber Silva', 'Carol Cashie', 'Valquiria Brito', 'Reinaldo Bricola', 'Will Santana']"
tt1465474,https://www.imdb.com/title/tt1465474,Antes Que o Mundo Acabe,7.0,2009,"['Drama', 'Família']",104.0,https://www.imdb.com/title/tt1465474/fullcredits,['Ana Luiza Azevedo'],"['Giba Assis Brasil', 'Ana Luiza Azevedo', 'Maria Clara Escobar', 'Jorge Furtado', 'Paulo Halm']","['Eduardo Cardoso', 'Murilo Grossi', 'Caroline Guedes', 'Bianca Menti', 'Eduardo Moreira', 'Janaína Kremer Motta', 'Pedro Tergolina']"
tt1252605,https://www.imdb.com/title/tt1252605,Hotel Atlântico,6.2,2009,['Drama'],102.0,https://www.imdb.com/title/tt1252605/fullcredits,['Suzana Amaral'],"['Suzana Amaral', 'João Gilberto Noll']","['Júlio Andrade', 'Gero Camilo', 'Emerson Danesi', 'Renato Dobal', 'André Frateschi', 'Luiz Guilherme', 'Helena Ignez', 'Lorena Lobato', 'Marcia Martins', 'João Miguel', 'Jiddu Pinheiro', 'Mariana Ximenes']"
tt1502981,https://www.imdb.com/title/tt1502981,Um Lugar ao Sol,7.2,2009,['Documentário'],71.0,https://www.imdb.com/title/tt1502981/fullcredits,['Gabriel Mascaro'],['Gabriel Mascaro'],
tt1372685,https://www.imdb.com/title/tt1372685,O Contador de Histórias,7.4,2009,['Drama'],100.0,https://www.imdb.com/title/tt1372685/fullcredits,['Luiz Villaça'],"['Mauricio Arruda', 'José Roberto Torero', 'Mariana Veríssimo', 'Luiz Villaça']","['Marco Antonio', 'Teuda Bara', 'Ju Colombo', 'Victor Augusto da Silva', 'Maria de Medeiros', 'Chico Díaz', 'Malu Galli', 'Paulinho Mendes', 'Cleiton Santos']"
tt3774662,https://www.imdb.com/title/tt3774662,1983 - O Ano Azul,9.5,2009,['Documentário'],90.0,https://www.imdb.com/title/tt3774662/fullcredits,"['Carlos Gerbase', 'Guss Mallmann']","['Gustavo Fogaça', 'Carlos Gerbase']","['Alvaci Almeida', 'Baidek', 'China', 'Valdir Espinosa', 'Grêmio F.B.P.A.', 'Ithon Fritzen', 'Renato Gaúcho', 'Fábio Koff', 'De León', 'Mazaropi', 'Oswaldo', 'Mauro Rosito', 'Mário Sérgio', 'Tarciso', 'António Carlos Verardi']"
tt1223932,https://www.imdb.com/title/tt1223932,Tempos de Paz,6.9,2009,['Drama'],80.0,https://www.imdb.com/title/tt1223932/fullcredits,['Daniel Filho'],['Bosco Brasil'],"['Louise Cardoso', 'Tony Ramos', 'Daniel Filho', ""Zezé d'Alice"", 'Ailton Graça', 'Dan Stulbach', 'Anselmo Vasconcelos', 'Iafa Britz', 'Felipe Martins', 'Breno de Filippo', 'Bernardo Jablonski', 'Maria Maya', 'Marcos Flaksman', 'Nilvan Santos', 'Pablo Sanábio', 'Liliane Mija', 'Ricardo Marecos', 'Leonardo Thierry', 'Ion Muresanu', 'Alexandre Bordalo', 'Carlos Henrique Case', 'Camila Lins', 'Ewa Stulbach', 'Atila Balazs Szemeredi']"
tt1262985,https://www.imdb.com/title/tt1262985,Garapa,7.4,2009,['Documentário'],110.0,https://www.imdb.com/title/tt1262985/fullcredits,['José Padilha'],"['Felipe Lacerda', 'José Padilha']",
tt1500720,https://www.imdb.com/title/tt1500720,Insolação,5.5,2009,['Drama'],100.0,https://www.imdb.com/title/tt1500720/fullcredits,"['Felipe Hirsch', 'Daniela Thomas']","['Will Eno', 'Sam Lipsyte']","['Arduíno Colassanti', 'Emílio Di Biasi', 'Jorge Emil', 'Rodrigo Ferrarini', 'André Frateschi', 'Paulo José', 'Leandra Leal', 'Miguel Lunardi', 'Antonio Medeiros', 'Leonardo Medeiros', 'Maria Luísa Mendonça', 'Daniela Piepszyk', 'Simone Spoladore', 'Eduardo Tornaghi']"
tt1843212,https://www.imdb.com/title/tt1843212,Moscou,7.0,2009,['Documentário'],78.0,https://www.imdb.com/title/tt1843212/fullcredits,['Eduardo Coutinho'],"['Carolina Benevides', 'Guilherme Coelho', 'Mariana Ferraz', 'João Moreira Salles', 'Beth Pessoa', 'Mauricio Andrade Ramos']","['Paulo André', 'Teuda Bara', 'Arildo de Barros', 'Lydia Del Picchia', 'Antônio Edson', 'Beth Franco', 'Júlio Maciel', 'Eduardo Moreira', 'Simone Ordones', 'Inês Peixoto', 'Chico Pelúcio', 'Rodolfo Vaz', 'Fernanda Vianna']"
