movie_ID,actors
tt0189762,Gésio Amadeu
tt0189762,Vera Manhães
tt0189762,Lúcia Mello
tt0189762,Adolfo Machado
tt0189762,Sônia Oiticica
tt0189762,Denise Lopes
tt0189762,Irene Pagliuso
tt0189762,Vera Lucia Lima
tt0189762,Maria Bueno
tt0189762,Elisabeth Fonseca
tt0189762,Gilka Tangarelli
tt0189762,Stela Maria Maia
tt0189762,Rosa Cardoso
tt0189762,João Roberto Simões
tt0189762,Clovis de Souza
tt0189762,David Cytrynovicz
tt0189762,Ademir Reyes
tt0189762,Carlos Eduardo de Souza
tt0189762,Marco Antonio Leão
tt0189762,Julcir Rossi
tt0189762,João Geraldini
tt0189762,Norberto Cecoto
tt0189762,Neusa Borges
tt0189762,Sylvia Massari
tt0189762,Agnaldo Rayol
tt0189762,Clóvis Trindade
tt0159805,Mário Benvenutti
tt0159805,Ary Fontoura
tt0159805,Samanta
tt0159805,Iara Stein
tt0159805,Sandra Bréa
tt0159805,Ângelo Antônio
tt0159805,Elsa Felini
tt0159805,Jacques Licht
tt0159805,Geraldo Del Rey
tt0159805,Neila Tavares
tt0159805,Murilo Nery
tt0159805,Fregolente
tt0159805,Lícia Magna
tt0159805,Laís Mann
tt0159805,Fernando Zeni
tt0159805,Roberto Murtinho
tt0159805,Flávio Ramos
tt0159805,Sônia Calmon
tt0159805,Wilma Regina
tt0159805,Delfim Esposel
tt0159805,Angela Vasconcelos
tt0159805,Célia Rezende
tt0159805,Monique Lafond
tt0159805,Marina Montini
tt0144890,Maria Aparecida
tt0144890,José Luís Araújo
tt0144890,Otávio Augusto
tt0144890,Sérgio Luiz Barbosa
tt0144890,Wilson Barros
tt0144890,Celso Bispo
tt0144890,Lenoir Bittencourt
tt0144890,Selma Caronezzi
tt0144890,Dennis Carvalho
tt0144890,Mário Chamie
tt0144890,Zécarlos de Andrade
tt0144890,Egídio Eccio
tt0144890,Carlos Alberto Ferreira
tt0144890,Joana Fomm
tt0144890,Paulo Guilherme
tt0144890,Jorge Helal
tt0144890,Heloísa
tt0144890,Eloá Jacobina
tt0144890,Lilian Lemmertz
tt0144890,Maina
tt0144890,Maracy Mello
tt0144890,André Franco Montoro
tt0144890,Claudio Polópoli
tt0144890,Carmem Silva
tt0144890,Bibi Vogel
tt0182024,Maria Gladys
tt0182024,Helena Ignez
tt0182024,Suzana de Moraes
tt0182024,Renata Sorrah
tt0181973,Rodolfo Arena
tt0181973,Helena Ignez
tt0181973,Isabella
tt0181973,Lilian Lemmertz
tt0181973,Poty
tt0181973,Guará Rodrigues
tt0181973,Otoniel Serra
tt0122235,Renata Fronzi
tt0122235,Geraldo Alves
tt0122235,Paulo Gracindo
tt0122235,Wellington Botelho
tt0122235,Costinha
tt0122235,César Ladeira
tt0122235,Roberto Guilherme
tt0122235,Alfredo Viviani
tt0122235,Aziza Perlingero
tt0122235,Carlos Melo
tt0122235,Miriam Roth
tt0122235,Wilson Grey
tt0122235,Yola Rena
tt0122235,Jararaca
tt0122235,Ratinho
tt0122235,Nick Nicola
tt0122235,Paulo Wagner
tt0122235,Chocolate
tt0122235,Hugo Brando
tt0122235,Zélia Hoffman
tt0122235,Alfredo Alves
tt0122235,Bebel Assaf
tt0122235,Maria Bebel
tt0122235,Luiz Carlos Braga
tt0122235,Maria Correa
tt0122235,Noêmia Morais de Almeida
tt0122235,Antonio Dos Santos
tt0122235,Ángela Fonseca
tt0122235,Yolanda Fronzi
tt0122235,Walter Goulart
tt0122235,Natacha Iris
tt0122235,Paulo Roberto de Almeida Lemos
tt0122235,Elke Maravilha
tt0122235,Rosendo Marinho
tt0122235,Monsueto
tt0122235,Carlos Natan
tt0122235,Maria Alice Paquet
tt0122235,Tertuliano Pyl
tt0122235,Georgia Quental
tt0122235,Fernando Ribeiro
tt0122235,Nina Sajkowsky
tt0122235,Paulette Silva
tt0122235,Walter Siqueira
tt0122235,Maria Sônia
tt0122235,Toninho
tt0122235,Maysa Gans Viotti
tt0122235,Nadia Waleska
tt0186448,Maurício do Valle
tt0186448,Ítala Nandi
tt0186448,Jesus Pingo
tt0186448,Hugo Carvana
tt0186448,José de Freitas
tt0186448,Wilson Grey
tt0186448,Vinícius Salvatori
tt0186448,Tep Kahok
tt0186448,Maria Regina
tt0186448,Manoel De Gaveira
tt0186448,Raimundo Arcanjo
tt0186448,Jacena R. Costa
tt0186448,Harildo Deda
tt0186448,Mário Gusmão
tt0201775,Laura Maria
tt0201775,Pedro Aguinaga
tt0201775,Fernanda Montenegro
tt0201775,Jorge Dória
tt0201775,Ana Maria Magalhães
tt0201775,Arduíno Colassanti
tt0201775,Silvio Lamenha
tt0201775,Marcos
tt0201775,Cristine
tt0201775,Maria Clara Mariani
tt0201775,Mauro
tt0201775,Petty
tt0201775,Helena
tt0201775,Lagartixa
tt0201775,Marcelo Costa
tt0201775,Antônio Cristiano
tt0201775,Vera Maria de Paula
tt0201775,Marcelo Marcello
tt0184884,Dercy Gonçalves
tt0184884,Grande Otelo
tt0184884,Borges de Barros
tt0184884,Zilda Cardoso
tt0184884,Milton Ribeiro
tt0184884,Manoel Vieira
tt0184884,Zélia Hoffman
tt0184884,Sadi Cabral
tt0184884,David Cardoso
tt0184884,Leda Lúcia
tt0184884,Norberto Nardone
tt0184884,Miguel Rosenberg
tt0184884,Iroshi Kikuti
tt0184884,Dedé Santana
tt0184884,Dino Santana
tt0184884,Marlene França
tt0184884,Lirio Bertelli
tt0184884,Roberto Ferreira
tt0184884,Morinobu Hijo
tt0184884,Morishi Hijo
tt0184884,Valery Martins
tt0184884,Morimasa Yamaauchi
tt0197427,Claudio Marzo
tt0197427,Eulina Rosa
tt0197427,Berta Loran
tt0197427,Flávio Migliaccio
tt0197427,Silvio Lamenha
tt0197427,Moacyr Deriquém
tt0145483,Bicky Berger
tt0145483,Jean Lafront
tt0145483,Kleber Macedo
tt0145483,Décio Stuart
tt0145483,Maria Augusta Teixeira
tt0145483,Rui Gomes
tt0145483,Vera Delamara
tt0145483,Glória Moreira
tt0145483,Edna Peressin
tt0145483,Ademir Fontana
tt0145483,Célia Fontes
tt0145483,Dorothée Marie Bouvyer
tt0181551,Sérgio Hingst
tt0181551,Adriana Prieto
tt0181551,Joana Fomm
tt0181551,Bárbara Fazio
tt0181551,Miguel di Pietro
tt0181551,Gilberto Sálvio
tt0181551,Francisco Curcio
tt0181551,Maurício do Valle
tt0181551,Paulo Gaeta
tt0181551,Alfredo Palácios
tt0181551,Ewerton de Castro
tt0181551,Antonio Meliande
tt0181551,Rubens Ewald Filho
tt0181551,Cavagnole Neto
tt0181551,Nize Silva
tt0181551,Sérgio Ricci
tt0181551,Paulo Contini
tt0181551,Edward Freund
tt0181551,Adone Fragano
tt0181551,Miro Case
tt0181551,Antonio João Amaro
tt0181551,Elia Durst
tt0181551,Antonio Moreira
tt0181551,José Júlio Spiewak
tt0181551,Abelardo Vaz
tt0181551,Vitoria Twardowska
tt0181551,Oscar Gilli
tt0181551,Cibele Silva
tt0181551,Anita Landerset
tt0181551,Rubem Biafora
tt0181551,Liliana Pacheco
tt0181551,Pedro Stepanenko
tt0178481,Joana Fomm
tt0178481,Paulo César Peréio
tt0178481,Lorival Pariz
tt0178481,Fernando Peixoto
tt0178481,Flávio São Thiago
tt0178481,Janira Santiago
tt0178481,Valquíria Mamberti
tt0178481,Samuel Costa
tt0178481,Fernando de Almeida
tt0287616,Fernando Benini
tt0287616,Jean-Claude Bernardet
tt0287616,Marcelino Buru
tt0287616,Ozualdo Ribeiro Candeias
tt0287616,Sérgio Couto
tt0287616,José Fernandes
tt0287616,Jairo Ferreira
tt0287616,José Gaspar
tt0287616,Marisa Leone
tt0287616,Cláudio Mamberti
tt0287616,Sebastião Milaré
