movie_ID,movie_title
tt0139895,O Bom Burguês
tt0279198,A Longa Noite do Prazer
tt0140477,A Próxima Vítima
tt0186437,Parahyba Mulher Macho
tt0424002,Corrupção de Menores
tt0184325,Os Campeões
tt0493645,O Escândalo na Sociedade
tt0335389,Sacanagem
tt0139095,O Cangaceiro Trapalhão
tt0279458,Os Tarados
tt0275337,Estranho Desejo
tt0138525,Inverno
tt0145432,O Rei da Vela
tt0275357,Força Estranha
tt0260010,"Etéia, a Extraterrestre em Sua Aventura no Rio"
tt0486871,Mulher Natureza
tt0443186,Pic-Nic do Sexo
tt0260209,A Mulher-Serpente e a Flor
tt0458915,Põe Devagar... Bem Devagarinho
tt0241205,Atrapalhando a Suate
tt0086469,O Trapalhão na Arca de Noé
tt0279346,"Promiscuidade, os Pivetes de Kátia"
tt0091816,Quilombo
tt0261395,Volúpia de Mulher
tt0438833,Elite Devassa
tt0134402,Cabra Marcado Para Morrer
tt0423104,S.O.S. Sex-Shop
tt0441480,"Sexo, Sexo, e Sexo"
tt0146479,Bete Balanço
tt0259301,Extremos do Prazer
tt0147099,Noites do Sertão
tt0254312,A Estrela Nua
tt0139837,Amor Voraz
tt0278960,Bacanais na Ilha das Ninfetas
tt0332433,Tentação na Cama
tt0087709,Memórias do cárcere
tt0133131,Nunca Fomos Tão Felizes
tt0495131,"Jeitosa, Um Assunto Muito Particular"
tt0279145,"Ivone, a Rainha do Pecado"
tt0279225,"Meu Homem, Meu Amante"
tt0140654,Um Casal de 3
tt0139657,Os Trapalhões e o Mágico de Oróz
tt0277315,Shock: Diversão Diabólica
tt0494046,Clube do Sexo
tt0495204,Transa Brutal
tt0332254,Mulher... Sexo... Veneno
tt0445775,O Tônico do Sexo
tt0136700,Aguenta Coração
tt0188124,Para Viver um Grande Amor
tt0274332,Amor Maldito
tt0451801,Lídia E Seu Primeiro Amante
tt0139210,A Filha dos Trapalhões
tt0275314,A Doutora é Boa Paca
tt0448460,Estranho Jogo do Sexo
tt0458860,Mulheres Insaciáveis
tt0296689,Jango
tt0441413,Padre Pedro E a Revolta das Crianças
tt0133257,Verdes Anos
tt0494030,A Boca do Prazer
tt0423491,A Volta do Jeca
tt0137284,Águia na Cabeça
tt0163540,O Baiano Fantasma
tt0273706,Karma - Enigma do Medo
tt0138599,Me Beija
tt0778787,Mulher de Proveta
tt0275347,O Filho Adotivo
tt0253660,"Se a Banana Prender, o Mamão Solta"
tt0242094,Uma Banana Para Bergman
tt0346517,Anúncio de Jornal
tt9323222,Tempo Sem Glória
tt0458108,Sexo em Fúria
tt0089424,O Beijo da Mulher-Aranha
tt0279222,A Menina e o Cavalo
tt0088703,Curral de Mulheres
tt0089297,A Hora da Estrela
tt0086871,Além da Paixão
tt0142125,"Os Bons Tempos Voltaram, Vamos Gozar Outra Vez"
tt0778767,Made in Brazil
tt0159427,Espelho de Carne
tt21806612,Novas Sacanagens do Viciado em C...
tt0091686,Ópera do Malandro
tt0138596,A Marvada Carne
tt0145685,Brás Cubas
tt0140296,Jogo Duro
tt0088906,Chico Rei
tt0088756,Avaeté - Semente da Vingança
tt0241456,Fonte da Saudade
