movie_ID,directed_by
tt0375794,Paulo Figueiredo
tt0443994,Rosângela Maldonado
tt0443994,José Mojica Marins
tt0444833,Sergio Toledo
tt0260715,Mozael Silveira
tt0143862,Hugo Carvana
tt0256786,Braz Chediak
tt0256786,Antonio Pedro
tt0256619,Victor di Mello
tt0256619,Cláudio MacDowell
tt0080534,Carlos Diegues
tt0273993,Roberto Mauro
tt0279399,Gilvan Pereira
tt0256027,Paulo Porto
tt0074804,Walter Lima Jr.
tt0443938,Salo Felzen
tt0077460,João Batista de Andrade
tt0194774,Francisco Ramalho Jr.
tt0197573,Carlos Reichenbach
tt0136197,Fábio Barreto
tt0256946,Jean Garret
tt0225944,Oswaldo de Oliveira
tt0184619,Carlos Coimbra
tt0249073,Luiz de Miranda Corrêa
tt0250319,Ody Fraga
tt0078768,Bruno Barreto
tt0275320,Ody Fraga
tt0077517,José Mojica Marins
tt0257013,Luiz Carlos Lacerda
tt0137418,Miguel Borges
tt0241159,Geraldo Vietri
tt0198304,Paulo César Saraceni
tt0233419,Oswaldo de Oliveira
tt0254311,Ary Fernandes
tt0237330,Geraldo Vietri
tt0248052,Mário Benvenutti
tt0191169,Fauzi Mansur
tt0186071,Antônio Calmon
tt0084146,Carlos Hugo Christensen
tt0279122,Alfredo Sternheim
tt0200429,Pedro Carlos Rovai
tt0200499,J.B. Tanko
tt0261056,Tony Vieira
tt0279338,Hércules Breseghelo
tt0261341,Luiz Castellini
tt0159246,Pedro Camargo
tt0261198,Levi Salgado
tt0241682,Carlos Imperial
tt0236010,Amácio Mazzaropi
tt0236010,Pio Zamuner
tt0260734,Antonio Bonacin Thome
tt0139475,David Neves
tt0186611,Antônio Calmon
tt0077959,José Mojica Marins
tt0261373,John Doo
tt0259725,Célio Gonçalves
tt0076679,Carlos Reichenbach
tt0188173,Miguel Faria Jr.
tt0242015,Cláudio Cunha
tt0261044,Alexandre Sandrini
tt0261269,Vera de Figueiredo
tt0139119,Adriano Stuart
tt0261459,Tony Vieira
tt0215669,Alcino Diniz
tt0257556,Pereira Dias
tt0442955,Wilson Rodrigues
tt0260725,David Cardoso
tt0260761,Carlo Mossy
tt0443280,Rubens da Silva Prado
tt0082912,Hector Babenco
tt0140543,Neville de Almeida
tt0241196,John Herbert
tt0241196,John Herbert Jr.
tt0250640,Ody Fraga
tt0080910,Glauber Rocha
tt0189443,Walter Hugo Khouri
tt0250621,David Cardoso
tt0250621,John Doo
tt0250621,Ody Fraga
tt0241495,Cláudio Cunha
tt0085596,Victor di Mello
tt0261082,Jean Garret
tt0144838,Joaquim Pedro de Andrade
tt0144838,Eduardo Escorel
tt0144838,Roberto Palmari
tt0144838,Roberto Santos
tt0274444,Alfredo Sternheim
tt0191201,Fauzi Mansur
tt0407789,Oswaldo de Oliveira
tt0438937,Luiz Castellini
tt0140453,Braz Chediak
tt0241217,Antonio Meliande
tt0332150,José Miziara
tt0278985,Oswaldo de Oliveira
tt0241361,Carlos Imperial
tt0443122,Wilson Rodrigues
tt0178585,João Batista de Andrade
tt0261360,Tony Vieira
tt0240635,Clery Cunha
tt0132989,Tizuka Yamasaki
tt0260912,Jean Garret
tt0241855,Marco Altberg
tt0442512,Waldir Kopesky
tt0279457,Antonio Bonacin Thome
tt0456377,Henrique Borges
tt0081214,Nelson Pereira dos Santos
tt0080386,Djalma Limongi Batista
tt0186637,Anselmo Duarte
tt0437961,Élio Vieira de Araújo
tt0254634,Ary Fernandes
tt0279274,Agenor Alves
tt0456474,José Adalto Cardoso
tt0241878,José Miziara
tt12920986,Ivan Cardoso
tt0279024,Juan Bajon
tt0241568,Antonio Meliande
tt0256500,Edward Freund
tt0279424,Carlos Alberto Almeida
tt0163569,Carlos Alberto Prates Correia
tt0081305,José Medeiros
tt0456702,Erasto Filho
tt0279015,Marcelo Motta
tt0260099,Emmanuel Cavalcanti
tt0260099,Luiz Paulino Dos Santos
tt0260099,Nelson Pereira dos Santos
tt0256701,Miguel Borges
tt0445578,Alexandre Sandrini
tt0197577,Carlos Reichenbach
tt0082343,Arnaldo Jabor
tt0177016,Silvio de Abreu
tt0140028,Walter Hugo Khouri
tt0184195,Braz Chediak
tt0082317,Leon Hirszman
tt0261189,David Cardoso
tt0261189,Luiz Castellini
tt0261189,John Doo
tt0457872,Jair Correia
tt0241939,Geraldo Vietri
tt0204030,Alfredo Sternheim
tt0241740,Carlos Imperial
tt0088784,Bruno Barreto
tt0183044,Haroldo Marinho Barbosa
tt0250392,Ody Fraga
tt0191273,Fauzi Mansur
tt0132891,Braz Chediak
tt0260705,David Cardoso
tt0260705,John Doo
tt0260705,Ody Fraga
tt0442474,Waldir Kopesky
tt0191317,Fauzi Mansur
tt0457949,Zygmunt Sulistrowski
tt0426010,Roberto Machado
tt0441267,Francisco Cavalcanti
tt0194640,Roberto Pires
tt0260821,Tony Vieira
tt0138073,J.B. Tanko
tt0275346,Ody Fraga
tt0186377,Antônio Calmon
tt0279506,Rubens Eleutério
tt0260847,John Doo
tt0260847,Waldir Kopesky
tt0260847,Peter Ivan Jozsef Rácz
tt0197751,Carlos Reichenbach
tt0241844,Antonio Meliande
tt0241672,Antonio Meliande
tt0442276,Waldir Kopesky
tt0457909,Milton Alencar
tt0241180,Antonio Meliande
tt0451671,Agenor Alves
tt0451671,Guillermo Vera
tt0422472,Libero Miguel
tt0458107,Domingos Antunes
tt0444306,Juan Bajon
tt0458010,Ciro Carpentieri Filho
tt0458137,Guilherme de Almeida Prado
tt0443189,Rubens da Silva Prado
tt0261108,John Doo
tt0186631,Antônio Calmon
tt0260856,John Doo
tt0256987,Romain Lesage
tt0279007,Ubiratan Gonçalves
tt0128381,Ozualdo Ribeiro Candeias
tt0451878,Levi Salgado
tt0442989,Rubens da Silva Prado
tt0083552,Walter Hugo Khouri
